model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,year
CHRYSLER 300,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,2008
CHRYSLER 300,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6,yes,2008
CHRYSLER 300,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6,no,2008
CHRYSLER 300,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3,no,2008
CHRYSLER Aspen,4.7,8,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3,no,2008
CHRYSLER Aspen,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,2008
CHRYSLER Aspen,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3,no,2008
CHRYSLER Crossfire,3.2,6,Man-6,2WD,Gasoline,small car,6.0,15.0,23.0,18.0,5,no,2008
CHRYSLER Crossfire,3.2,6,Auto-L5,2WD,Gasoline,small car,6.0,19.0,25.0,21.0,6,no,2008
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,7.0,18.0,24.0,21.0,6,yes,2008
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6,yes,2008
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6,yes,2008
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,21.0,6,no,2008
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6,no,2008
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6,no,2008
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,21.0,26.0,23.0,7,yes,2008
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,18.0,24.0,21.0,6,yes,2008
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,19.0,24.0,21.0,6,yes,2008
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,7.0,20.0,25.0,22.0,6,yes,2008
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,18.0,24.0,21.0,6,no,2008
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,19.0,24.0,21.0,6,no,2008
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,6.0,20.0,25.0,22.0,6,no,2008
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,6.0,21.0,26.0,23.0,7,yes,2008
CHRYSLER Pacifica,3.8,6,Auto-L4,2WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5,no,2008
